{'batch_size': 128, 'prefix_filter': None, 'max_length': 15, 'epoch_num': 5000, 'try_one_batch': False, 'learning_rate': 0.001, 'device': 'cuda', 'filename': '../data/rus.txt', 'train_size': 0.8, 'embedding_size': 256, 'hidden_size': 256, 'src_vocab_size': 4000, 'tgt_vocab_size': 4000}
{'val_loss': 1.7326973676681519, 'train_loss': 0.4891727864742279, 'bleu_score': 0.19330205028337447}
{'val_loss': 1.732741117477417, 'train_loss': 0.48961254954338074, 'bleu_score': 0.19404379217685241}
{'val_loss': 1.7327135801315308, 'train_loss': 0.4893684387207031, 'bleu_score': 0.186027797851926}
{'val_loss': 1.732674241065979, 'train_loss': 0.4892254173755646, 'bleu_score': 0.1962246987057472}
{'val_loss': 1.7327529191970825, 'train_loss': 0.48937761783599854, 'bleu_score': 0.18483715060743267}
{'val_loss': 1.7326905727386475, 'train_loss': 0.4897511303424835, 'bleu_score': 0.12514610861995024}
{'val_loss': 1.7327537536621094, 'train_loss': 0.489458292722702, 'bleu_score': 0.2863624582488152}
{'val_loss': 1.732667326927185, 'train_loss': 0.4894411563873291, 'bleu_score': 0.16612050290031524}
{'val_loss': 1.7327240705490112, 'train_loss': 0.48903337121009827, 'bleu_score': 0.18028956290109666}
{'val_loss': 1.7326997518539429, 'train_loss': 0.4895464777946472, 'bleu_score': 0.19868933978699285}
{'val_loss': 1.7327271699905396, 'train_loss': 0.4895355701446533, 'bleu_score': 0.16045959554742042}
{'val_loss': 1.7326722145080566, 'train_loss': 0.4891284108161926, 'bleu_score': 0.13126813999775103}
{'val_loss': 1.7327121496200562, 'train_loss': 0.4898592233657837, 'bleu_score': 0.2404822543049584}
{'val_loss': 1.732625961303711, 'train_loss': 0.4893368184566498, 'bleu_score': 0.16323607784873406}
{'val_loss': 1.7327042818069458, 'train_loss': 0.48920178413391113, 'bleu_score': 0.19991663923876968}
{'val_loss': 1.73268723487854, 'train_loss': 0.4893551468849182, 'bleu_score': 0.20890215626444109}
{'val_loss': 1.7325800657272339, 'train_loss': 0.48980551958084106, 'bleu_score': 0.18792221661321412}
{'val_loss': 1.732696294784546, 'train_loss': 0.489383727312088, 'bleu_score': 0.16224462419340702}
{'val_loss': 1.7327162027359009, 'train_loss': 0.4895080029964447, 'bleu_score': 0.22479363308500466}
{'val_loss': 1.7327196598052979, 'train_loss': 0.48911720514297485, 'bleu_score': 0.1845075495498269}
{'val_loss': 1.732696533203125, 'train_loss': 0.48896297812461853, 'bleu_score': 0.19844315071310148}
{'val_loss': 1.7327862977981567, 'train_loss': 0.48918789625167847, 'bleu_score': 0.21538997841269006}
{'val_loss': 1.7327128648757935, 'train_loss': 0.4895628094673157, 'bleu_score': 0.1738162493449854}
{'val_loss': 1.7327529191970825, 'train_loss': 0.4887654781341553, 'bleu_score': 0.20465301003468275}
{'val_loss': 1.7327556610107422, 'train_loss': 0.48902472853660583, 'bleu_score': 0.2425830698596276}
{'val_loss': 1.732653260231018, 'train_loss': 0.488725483417511, 'bleu_score': 0.17583962508708892}
{'val_loss': 1.7326655387878418, 'train_loss': 0.48952704668045044, 'bleu_score': 0.2184619067136311}
{'val_loss': 1.7327094078063965, 'train_loss': 0.4897412955760956, 'bleu_score': 0.1673448847653506}
{'val_loss': 1.7326829433441162, 'train_loss': 0.488984078168869, 'bleu_score': 0.16353384568908447}
{'val_loss': 1.7327280044555664, 'train_loss': 0.4892623722553253, 'bleu_score': 0.19323026759668424}
{'val_loss': 1.7327200174331665, 'train_loss': 0.48950496315956116, 'bleu_score': 0.19326030855289814}
{'val_loss': 1.7327332496643066, 'train_loss': 0.48880186676979065, 'bleu_score': 0.16722362985679545}
{'val_loss': 1.7327077388763428, 'train_loss': 0.4895312786102295, 'bleu_score': 0.19391053204361575}
{'val_loss': 1.7326382398605347, 'train_loss': 0.4894140958786011, 'bleu_score': 0.19631170049870852}
{'val_loss': 1.7326773405075073, 'train_loss': 0.4894159436225891, 'bleu_score': 0.20251868831744924}
{'val_loss': 1.7327196598052979, 'train_loss': 0.4896072745323181, 'bleu_score': 0.20879758611466773}
{'val_loss': 1.7326598167419434, 'train_loss': 0.4886555075645447, 'bleu_score': 0.2031028569583593}
{'val_loss': 1.7327386140823364, 'train_loss': 0.48943325877189636, 'bleu_score': 0.18311280702327995}
{'val_loss': 1.7327566146850586, 'train_loss': 0.48908185958862305, 'bleu_score': 0.15280859054839385}
{'val_loss': 1.7327309846878052, 'train_loss': 0.4893935024738312, 'bleu_score': 0.21689749239275113}
{'val_loss': 1.7327626943588257, 'train_loss': 0.48876330256462097, 'bleu_score': 0.18881223648082252}
{'val_loss': 1.7326669692993164, 'train_loss': 0.489039808511734, 'bleu_score': 0.1992526067950487}
{'val_loss': 1.7327708005905151, 'train_loss': 0.4889829158782959, 'bleu_score': 0.1961171406408586}
{'val_loss': 1.7326903343200684, 'train_loss': 0.48961514234542847, 'bleu_score': 0.22217133610163042}
{'val_loss': 1.732686161994934, 'train_loss': 0.4894863963127136, 'bleu_score': 0.17785485887280683}
{'val_loss': 1.7327772378921509, 'train_loss': 0.4901385009288788, 'bleu_score': 0.19657174426546564}
{'val_loss': 1.732689619064331, 'train_loss': 0.4892234206199646, 'bleu_score': 0.21283905658247537}
{'val_loss': 1.7326363325119019, 'train_loss': 0.48930782079696655, 'bleu_score': 0.17691804955966584}
{'val_loss': 1.7327011823654175, 'train_loss': 0.4893704354763031, 'bleu_score': 0.20835499651216083}
{'val_loss': 1.732679843902588, 'train_loss': 0.4895556569099426, 'bleu_score': 0.22851972492012185}
{'val_loss': 1.7327039241790771, 'train_loss': 0.48905110359191895, 'bleu_score': 0.20906371167711968}
{'val_loss': 1.7326680421829224, 'train_loss': 0.48939722776412964, 'bleu_score': 0.20678272904494596}
{'val_loss': 1.7325081825256348, 'train_loss': 0.48903611302375793, 'bleu_score': 0.18708538327527902}
{'val_loss': 1.7327721118927002, 'train_loss': 0.4891839027404785, 'bleu_score': 0.1766947006964872}
{'val_loss': 1.732741117477417, 'train_loss': 0.48896366357803345, 'bleu_score': 0.18161270720200393}
{'val_loss': 1.7326701879501343, 'train_loss': 0.4890068471431732, 'bleu_score': 0.1854905068408722}
{'val_loss': 1.732704758644104, 'train_loss': 0.4893859624862671, 'bleu_score': 0.19806159945448926}
{'val_loss': 1.7327178716659546, 'train_loss': 0.4894685745239258, 'bleu_score': 0.19072616386656605}
{'val_loss': 1.7327486276626587, 'train_loss': 0.4895468056201935, 'bleu_score': 0.21027934621771385}
{'val_loss': 1.7326765060424805, 'train_loss': 0.4893880784511566, 'bleu_score': 0.16852893157536836}
{'val_loss': 1.7326139211654663, 'train_loss': 0.4886806607246399, 'bleu_score': 0.1644295043901694}
{'val_loss': 1.732703447341919, 'train_loss': 0.4897376000881195, 'bleu_score': 0.15375656067491753}
{'val_loss': 1.7326372861862183, 'train_loss': 0.4893079400062561, 'bleu_score': 0.18071354902067077}
{'val_loss': 1.7327059507369995, 'train_loss': 0.48954933881759644, 'bleu_score': 0.17324584720663808}
{'val_loss': 1.7326756715774536, 'train_loss': 0.48969587683677673, 'bleu_score': 0.19616899081915423}
{'val_loss': 1.7327405214309692, 'train_loss': 0.48949581384658813, 'bleu_score': 0.20629871744477132}
{'val_loss': 1.7326315641403198, 'train_loss': 0.4896431267261505, 'bleu_score': 0.19165628489260916}
{'val_loss': 1.7326627969741821, 'train_loss': 0.4891412854194641, 'bleu_score': 0.19036408310976927}
{'val_loss': 1.7326956987380981, 'train_loss': 0.4894700348377228, 'bleu_score': 0.19293197512344978}
{'val_loss': 1.7326761484146118, 'train_loss': 0.4894390106201172, 'bleu_score': 0.15994735448921626}
{'val_loss': 1.7326831817626953, 'train_loss': 0.4893903136253357, 'bleu_score': 0.20669973911578848}
{'val_loss': 1.7327193021774292, 'train_loss': 0.48886626958847046, 'bleu_score': 0.19474012716165762}
{'val_loss': 1.7327440977096558, 'train_loss': 0.4893718957901001, 'bleu_score': 0.1906239936217518}
{'val_loss': 1.7327306270599365, 'train_loss': 0.48902297019958496, 'bleu_score': 0.15131704360639509}
{'val_loss': 1.7327481508255005, 'train_loss': 0.4896899461746216, 'bleu_score': 0.1691621287050757}
{'val_loss': 1.7327282428741455, 'train_loss': 0.48979079723358154, 'bleu_score': 0.14533853246555317}
{'val_loss': 1.7326987981796265, 'train_loss': 0.48910319805145264, 'bleu_score': 0.16463740760170348}
{'val_loss': 1.7326844930648804, 'train_loss': 0.4896683990955353, 'bleu_score': 0.20495369397638413}
{'val_loss': 1.7327098846435547, 'train_loss': 0.4896588921546936, 'bleu_score': 0.2176609818092558}
{'val_loss': 1.7327193021774292, 'train_loss': 0.489452987909317, 'bleu_score': 0.17580056206888223}
{'val_loss': 1.7327715158462524, 'train_loss': 0.4892355501651764, 'bleu_score': 0.12657582845633167}
{'val_loss': 1.732733130455017, 'train_loss': 0.4894263446331024, 'bleu_score': 0.13534187052562224}
{'val_loss': 1.732656717300415, 'train_loss': 0.48928171396255493, 'bleu_score': 0.1639038267756438}
{'val_loss': 1.7327516078948975, 'train_loss': 0.4892100691795349, 'bleu_score': 0.18283779272043638}
{'val_loss': 1.7327356338500977, 'train_loss': 0.48936739563941956, 'bleu_score': 0.15443454177104782}
{'val_loss': 1.7326520681381226, 'train_loss': 0.489321231842041, 'bleu_score': 0.18817086287852708}
{'val_loss': 1.7327338457107544, 'train_loss': 0.4894832968711853, 'bleu_score': 0.18033853317532245}
{'val_loss': 1.7327111959457397, 'train_loss': 0.48880353569984436, 'bleu_score': 0.1282186492232777}
{'val_loss': 1.7327731847763062, 'train_loss': 0.4897712469100952, 'bleu_score': 0.18760268872691943}
{'val_loss': 1.7326767444610596, 'train_loss': 0.4894323945045471, 'bleu_score': 0.1848372223692236}
{'val_loss': 1.7327085733413696, 'train_loss': 0.4894826114177704, 'bleu_score': 0.1749926137341537}
{'val_loss': 1.7327007055282593, 'train_loss': 0.4888937175273895, 'bleu_score': 0.2038914361749196}
{'val_loss': 1.7327303886413574, 'train_loss': 0.4891253113746643, 'bleu_score': 0.20921401534017176}
{'val_loss': 1.7326894998550415, 'train_loss': 0.4893580675125122, 'bleu_score': 0.19769646739086444}
{'val_loss': 1.7326909303665161, 'train_loss': 0.48915231227874756, 'bleu_score': 0.24025037189246562}
{'val_loss': 1.7327367067337036, 'train_loss': 0.4894695281982422, 'bleu_score': 0.1596421496829169}
{'val_loss': 1.7326687574386597, 'train_loss': 0.4895556569099426, 'bleu_score': 0.17914093002160963}
{'val_loss': 1.7326641082763672, 'train_loss': 0.48971128463745117, 'bleu_score': 0.24153396067627794}
{'val_loss': 1.7326565980911255, 'train_loss': 0.489350825548172, 'bleu_score': 0.1767449601878971}
{'val_loss': 1.732676386833191, 'train_loss': 0.48883986473083496, 'bleu_score': 0.1772596231835331}
{'val_loss': 1.7327183485031128, 'train_loss': 0.4894382953643799, 'bleu_score': 0.12294376619961864}
{'val_loss': 1.7325973510742188, 'train_loss': 0.4893718659877777, 'bleu_score': 0.2269049678477428}
{'val_loss': 1.7327615022659302, 'train_loss': 0.48981401324272156, 'bleu_score': 0.12034554108043173}
{'val_loss': 1.7326099872589111, 'train_loss': 0.488923579454422, 'bleu_score': 0.1590290885374215}
{'val_loss': 1.732693076133728, 'train_loss': 0.4889906048774719, 'bleu_score': 0.2190511348118228}
{'val_loss': 1.732696771621704, 'train_loss': 0.4892123341560364, 'bleu_score': 0.15637605824324613}
{'val_loss': 1.7327054738998413, 'train_loss': 0.4887879490852356, 'bleu_score': 0.22752261279356667}
{'val_loss': 1.732729196548462, 'train_loss': 0.48963671922683716, 'bleu_score': 0.18297180447507744}
{'val_loss': 1.7327654361724854, 'train_loss': 0.4888229966163635, 'bleu_score': 0.21862346818608885}
{'val_loss': 1.7327271699905396, 'train_loss': 0.48958641290664673, 'bleu_score': 0.19336810630640028}
{'val_loss': 1.732726812362671, 'train_loss': 0.4894830584526062, 'bleu_score': 0.14937165180027556}
{'val_loss': 1.7326958179473877, 'train_loss': 0.4894712567329407, 'bleu_score': 0.17252167902630672}
{'val_loss': 1.7327518463134766, 'train_loss': 0.48947012424468994, 'bleu_score': 0.2074946758468021}
{'val_loss': 1.7326395511627197, 'train_loss': 0.4896884262561798, 'bleu_score': 0.21584879072698088}
{'val_loss': 1.732708215713501, 'train_loss': 0.48850569128990173, 'bleu_score': 0.2109900978095958}
{'val_loss': 1.732763648033142, 'train_loss': 0.48951560258865356, 'bleu_score': 0.20257786532298822}
{'val_loss': 1.7327333688735962, 'train_loss': 0.4897051155567169, 'bleu_score': 0.1602353396986783}
{'val_loss': 1.7327767610549927, 'train_loss': 0.4893549382686615, 'bleu_score': 0.16288713668640897}
{'val_loss': 1.7326401472091675, 'train_loss': 0.4890097975730896, 'bleu_score': 0.14982360203563544}
{'val_loss': 1.732734203338623, 'train_loss': 0.4896317422389984, 'bleu_score': 0.20682566474527456}
{'val_loss': 1.7326767444610596, 'train_loss': 0.4894227087497711, 'bleu_score': 0.1610100985999457}
{'val_loss': 1.7327011823654175, 'train_loss': 0.48989102244377136, 'bleu_score': 0.16031273156517126}
{'val_loss': 1.7327001094818115, 'train_loss': 0.4891718626022339, 'bleu_score': 0.19040137449975916}
{'val_loss': 1.7327333688735962, 'train_loss': 0.48928120732307434, 'bleu_score': 0.19236377484338588}
{'val_loss': 1.7327585220336914, 'train_loss': 0.4895082712173462, 'bleu_score': 0.13347343033480086}
{'val_loss': 1.7327618598937988, 'train_loss': 0.4890342056751251, 'bleu_score': 0.2167461650558059}
{'val_loss': 1.7327678203582764, 'train_loss': 0.48964664340019226, 'bleu_score': 0.16563855075490697}
{'val_loss': 1.7326282262802124, 'train_loss': 0.4888555407524109, 'bleu_score': 0.1770209935797127}
{'val_loss': 1.73269522190094, 'train_loss': 0.4894546568393707, 'bleu_score': 0.2398237716022542}
{'val_loss': 1.7327104806900024, 'train_loss': 0.4900674521923065, 'bleu_score': 0.17895524002500962}
